character,category,line_id,text,filename,characters
sully,hint,southie_q1,"1974. I was sixteen. The whole neighborhood went crazy. Judge Garrity made a ruling about schools. Suddenly everyone was throwing rocks at buses. Changed everything.",sully_hint_southie_q1.mp3,173
sully,hint,southie_q2,"The parade. Broadway. March 17th. I marched in it fifty years straight. Never missed one until I got sick.",sully_hint_southie_q2.mp3,108
sully,hint,southie_q3,"Carson, L Street, M Street. Our beaches. Revere's up north. Different world. Swam at all of ours in January once.",sully_hint_southie_q3.mp3,117
sully,hint,southie_q4,"There was one man who ran everything in Southie. I never met him - at least, that's what I told people. Everyone knew. Nobody said it.",sully_hint_southie_q4.mp3,140
sully,hint,southie_q5,"L Street Brownies. Crazy bastards swim in the ocean in January. Been doing it since 1902. I did it once. Never again.",sully_hint_southie_q5.mp3,121
sully,hint,north_end_q1,"Old North Church. Two lanterns. 'One if by land, two if by sea.' Every Bostonian knows this. Paul Revere. Midnight ride.",sully_hint_north_end_q1.mp3,122
sully,hint,north_end_q2,"Mike's Pastry. 1946. Modern opened later. Don't let anyone tell you different. I knew the original Mike.",sully_hint_north_end_q2.mp3,106
sully,hint,north_end_q3,"Oldest residential neighborhood in Boston. Settled in the 1630s. Before the Common was even a park.",sully_hint_north_end_q3.mp3,102
sully,hint,north_end_q4,"Paul Revere. Silversmith. Patriot. His house is still standing in the North End. Walked past it a thousand times.",sully_hint_north_end_q4.mp3,116
sully,hint,north_end_q5,"The feasts. They carry the saint through the streets. Pin money to it. The Fishermen's Feast in August. Beautiful tradition.",sully_hint_north_end_q5.mp3,126
sully,hint,fenway_q1,"The Green Monster. 37 feet tall. Looks taller when you're standing at home plate. Changes everything about left field.",sully_hint_fenway_q1.mp3,118
sully,hint,fenway_q2,"April 1912. Fenway opened. Same week the Titanic went down. Both made headlines.",sully_hint_fenway_q2.mp3,82
sully,hint,fenway_q3,"Section 42, Row 37, Seat 21. Red seat. Ted Williams hit one there in 1946. 502 feet. Unbelievable.",sully_hint_fenway_q3.mp3,104
sully,hint,fenway_q4,"The Curse. Started in 1918 when they sold Ruth to the Yankees. Ended in 2004. I cried that night.",sully_hint_fenway_q4.mp3,101
sully,hint,fenway_q5,"Manual scoreboard. No electricity. They slide numbers in and out by hand. Been that way for over a century.",sully_hint_fenway_q5.mp3,109
sully,hint,beacon_hill_q1,"The dome was wood first. Then copper - Revere did that. Then gold leaf since 1874. Three versions.",sully_hint_beacon_hill_q1.mp3,99
sully,hint,beacon_hill_q2,"Gas lamps. Real gas. Been there since the 1800s. City maintains them. Part of what makes the Hill special.",sully_hint_beacon_hill_q2.mp3,108
sully,hint,beacon_hill_q3,"Louisburg Square. Private street. Residents own it. Most exclusive address in Boston. Money has money there.",sully_hint_beacon_hill_q3.mp3,110
sully,hint,beacon_hill_q4,"Charles Bulfinch. Designed the State House. Half the important buildings in early Boston. The man was a genius.",sully_hint_beacon_hill_q4.mp3,113
sully,hint,beacon_hill_q5,"African Meeting House. Underground Railroad. Free Black community on Beacon Hill. Important history most people don't know.",sully_hint_beacon_hill_q5.mp3,124
sully,hint,charlestown_q1,"Bunker Hill battle was actually fought on Breed's Hill. They got the name wrong. Happens sometimes.",sully_hint_charlestown_q1.mp3,100
sully,hint,charlestown_q2,"Old Ironsides. USS Constitution. Cannonballs bounced off the hull. That's where the nickname came from.",sully_hint_charlestown_q2.mp3,104
sully,hint,charlestown_q3,"294 steps in the monument. I climbed them once. Once was enough. No elevator. My knees still remember.",sully_hint_charlestown_q3.mp3,103
sully,hint,charlestown_q4,"Charlestown was settled in 1628. Before Boston proper. One of the oldest places in all of Massachusetts.",sully_hint_charlestown_q4.mp3,105
sully,hint,charlestown_q5,"Townies. That's what they call people from Charlestown. Different from Southies. Don't mix them up.",sully_hint_charlestown_q5.mp3,101
sully,hint,back_bay_q1,"Back Bay was a swamp. Tidal flats. They filled it in with gravel starting in the 1850s. Every building sits on landfill.",sully_hint_back_bay_q1.mp3,123
sully,hint,back_bay_q2,"Boston Public Library. 1895. The building in Copley Square. Murals inside by Sargent. Free to see. Free to use.",sully_hint_back_bay_q2.mp3,115
sully,hint,back_bay_q3,"Victorian brownstones. French Academic style. Rich people wanted it to look like Paris. It kind of does.",sully_hint_back_bay_q3.mp3,105
sully,hint,back_bay_q4,"Arlington, Berkeley, Clarendon, Dartmouth, Exeter, Fairfield, Gloucester, Hereford. Alphabetical. Easy to remember.",sully_hint_back_bay_q4.mp3,115
