character,category,line_id,text,filename,characters
rita,intro,intro_1_1,"Well, well. Another O'Brien looking for a key.",rita_intro_1_1.mp3,46
rita,intro,intro_1_2,Sully told me you might come by.,rita_intro_1_2.mp3,32
danny,intro_response,intro_rita_1,"Hi, uh, sorry to bother you. I'm Danny. Sully's nephew? Great-nephew? Something like that.",danny_intro_rita_1.mp3,90
colleen,intro_response,intro_rita_1,Let's skip the small talk. I'm Colleen. You have something I need.,colleen_intro_rita_1.mp3,66
fitz,intro_response,intro_rita_1,"The name's Fitz. And before you ask — yes, I know about the tunnels under the city.",fitz_intro_rita_1.mp3,83
meg,intro_response,intro_rita_1,Meg. Here for the key. Can we make this quick?,meg_intro_rita_1.mp3,46
rita,intro,intro_1_3,Let's see if you know your Boston. Five questions. Get three right.,rita_intro_1_3.mp3,67
rita,intro,intro_2_1,"Ah, you must be one of Sully's. Got his stubborn look about you.",rita_intro_2_1.mp3,64
rita,intro,intro_2_2,"He said if anyone came asking, they better earn it.",rita_intro_2_2.mp3,51
danny,intro_response,intro_rita_2,"That sounds like him. I'm Danny. I, uh, hope I don't disappoint.",danny_intro_rita_2.mp3,64
colleen,intro_response,intro_rita_2,Colleen. And I don't plan on asking — I plan on taking.,colleen_intro_rita_2.mp3,55
fitz,intro_response,intro_rita_2,Fitz. Sully once told me this bar has a hidden basement. Is that true?,fitz_intro_rita_2.mp3,70
meg,intro_response,intro_rita_2,Meg. And I'm already tired. Let's do this.,meg_intro_rita_2.mp3,42
rita,intro,intro_2_3,"Alright, hotshot. Five questions about this neighborhood. Miss more than two, you're out.",rita_intro_2_3.mp3,89
rita,intro,intro_3_1,Hold on. You look familiar. You related to Sully?,rita_intro_3_1.mp3,49
rita,intro,intro_3_2,He used to come in here every Tuesday. Miss that old bastard.,rita_intro_3_2.mp3,61
danny,intro_response,intro_rita_3,I'm Danny. His great-nephew. Or nephew once removed? I never figured it out.,danny_intro_rita_3.mp3,76
colleen,intro_response,intro_rita_3,Colleen. His niece. And I'd rather not get sentimental about it.,colleen_intro_rita_3.mp3,64
fitz,intro_response,intro_rita_3,Fitz. Did you know Sully had a secret safe deposit box at three different banks?,fitz_intro_rita_3.mp3,80
meg,intro_response,intro_rita_3,"Meg. And yeah, I miss him too. But I'm here for the key, not therapy.",meg_intro_rita_3.mp3,69
rita,intro,intro_3_3,You want what Sully left you? Prove you deserve it. Five questions.,rita_intro_3_3.mp3,67
rita,success,success_1_1,"Not bad, kid. Not bad at all.",rita_success_1_1.mp3,29
rita,success,success_1_2,Sully would've been proud. Here's your key.,rita_success_1_2.mp3,43
rita,success,success_2_1,Huh. You actually know your stuff.,rita_success_2_1.mp3,34
rita,success,success_2_2,Sully always said his family wasn't completely hopeless. Guess he was right.,rita_success_2_2.mp3,76
rita,success,success_3_1,"Well, look at that. An O'Brien who can answer questions.",rita_success_3_1.mp3,56
rita,success,success_3_2,Here. You earned this. Don't lose it.,rita_success_3_2.mp3,37
rita,failure,failure_1_1,That's... not great.,rita_failure_1_1.mp3,20
rita,failure,failure_1_2,You want another shot? Redemption challenge?,rita_failure_1_2.mp3,44
rita,failure,failure_2_1,Ooh. Sully's probably rolling in his grave.,rita_failure_2_1.mp3,43
rita,failure,failure_2_2,"Look, I'll give you one more chance. Different kind of test.",rita_failure_2_2.mp3,60
rita,failure,failure_3_1,That was painful to watch.,rita_failure_3_1.mp3,26
rita,failure,failure_3_2,Tell you what — there's another way. You game?,rita_failure_3_2.mp3,46
enzo,intro,intro_1_1,"You're here about Sully's thing, aren't you?",enzo_intro_1_1.mp3,44
enzo,intro,intro_1_2,He mentioned family might come looking. Didn't say when.,enzo_intro_1_2.mp3,56
danny,intro_response,intro_enzo_1,"Yes sir. I'm Danny. Sully was my... actually, I'm not sure what he was to me.",danny_intro_enzo_1.mp3,77
colleen,intro_response,intro_enzo_1,Colleen. And I don't have time for stories about the old days.,colleen_intro_enzo_1.mp3,62
fitz,intro_response,intro_enzo_1,Fitz. Did Sully ever mention anything about the 1919 molasses flood being an inside job?,fitz_intro_enzo_1.mp3,88
meg,intro_response,intro_enzo_1,"Meg. And whatever you're about to tell me about Sully, I've probably heard it.",meg_intro_enzo_1.mp3,78
enzo,intro,intro_1_3,You want my key? Show me you know the North End. Five questions.,enzo_intro_1_3.mp3,64
enzo,intro,intro_2_1,"Ah, another one. Sully had a lot of relatives, eh?",enzo_intro_2_1.mp3,50
enzo,intro,intro_2_2,Some of them already came through. You're not the first.,enzo_intro_2_2.mp3,56
danny,intro_response,intro_enzo_2,"Wait, others came already? I'm Danny, by the way. Did I miss something?",danny_intro_enzo_2.mp3,71
colleen,intro_response,intro_enzo_2,Colleen. And I don't care who came before me. I care who leaves with the key.,colleen_intro_enzo_2.mp3,77
fitz,intro_response,intro_enzo_2,Fitz. Who else came? Were they asking about the tunnels?,fitz_intro_enzo_2.mp3,56
meg,intro_response,intro_enzo_2,Meg. Great. Competition. Just what I needed.,meg_intro_enzo_2.mp3,44
